fokus,topik,bahasa,level_bloom,pertanyaan,input_text,target_text
IT Project Management,IT Governance Framework,English,Evaluating,"A company is deciding between implementing COBIT 2019 or ISO/IEC 38500 as their IT Governance Framework. Based on the company's need for detailed process guidance and maturity assessment, which framework would be more suitable and why?","Level: Evaluating
Topik: IT Governance Framework
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A company is deciding between implementing COBIT 2019 or ISO/IEC 38500 as their IT Governance Framework. Based on the company's need for detailed process guidance and maturity assessment, which framework would be more suitable and why?"
Operating Systems,Introduction and Operating System Structure,English,Understanding,Explain why a program must reside partially or entirely in memory before execution.,"Level: Understanding
Topik: Introduction and Operating System Structure
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain why a program must reside partially or entirely in memory before execution.
Data Structures,Hash Table,English,Evaluating,"A developer is choosing between a hash table and a binary search tree for a dictionary application that requires frequent insertions, deletions, and lookups. Which data structure would you recommend and why?","Level: Evaluating
Topik: Hash Table
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A developer is choosing between a hash table and a binary search tree for a dictionary application that requires frequent insertions, deletions, and lookups. Which data structure would you recommend and why?"
Operating Systems,C-Language and Processes,English,Remembering,What is the purpose of the `execlp()` function?,"Level: Remembering
Topik: C-Language and Processes
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is the purpose of the `execlp()` function?
Machine Learning,Gradient Boosting,English,Analyzing,A gradient boosting model shows high training accuracy (95%) but low test accuracy (70%). Analyze the possible causes and identify which hyperparameters might be contributing to this issue.,"Level: Analyzing
Topik: Gradient Boosting
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",A gradient boosting model shows high training accuracy (95%) but low test accuracy (70%). Analyze the possible causes and identify which hyperparameters might be contributing to this issue.
Machine Learning,Random Forest,English,Applying,"You have a dataset with 1000 samples and 50 features. If you set max_features=sqrt(n_features) in your Random Forest model, how many features will be considered at each split?","Level: Applying
Topik: Random Forest
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","You have a dataset with 1000 samples and 50 features. If you set max_features=sqrt(n_features) in your Random Forest model, how many features will be considered at each split?"
NLP,BERT Architecture,Indonesian,Evaluating,Sebuah tim sedang memutuskan antara menggunakan BERT-base atau BERT-large untuk tugas analisis sentimen dengan sumber daya komputasi yang terbatas. Model mana yang Anda rekomendasikan dan mengapa? Pertimbangkan trade-off antara performa dan kebutuhan sumber daya.,"Level: Evaluating
Topik: BERT Architecture
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Sebuah tim sedang memutuskan antara menggunakan BERT-base atau BERT-large untuk tugas analisis sentimen dengan sumber daya komputasi yang terbatas. Model mana yang Anda rekomendasikan dan mengapa? Pertimbangkan trade-off antara performa dan kebutuhan sumber daya.
React,React Hooks useEffect,English,Creating,Design a custom hook called useDebounce that uses useEffect internally to delay updating a value until the user stops typing for 500ms. The hook should accept a value and delay as parameters and return the debounced value.,"Level: Creating
Topik: React Hooks useEffect
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Design a custom hook called useDebounce that uses useEffect internally to delay updating a value until the user stops typing for 500ms. The hook should accept a value and delay as parameters and return the debounced value.
Python OOP,Python Multiple Inheritance,Indonesian,Creating,"Rancang hierarki multiple inheritance untuk sistem universitas di mana class `TeachingAssistant` perlu mewarisi dari class `Student` dan `Instructor`. Implementasikan class-class tersebut dengan penggunaan `super()` yang tepat untuk menangani inisialisasi semua parent class, memastikan tidak ada data yang hilang atau terduplikasi.","Level: Creating
Topik: Python Multiple Inheritance
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang hierarki multiple inheritance untuk sistem universitas di mana class `TeachingAssistant` perlu mewarisi dari class `Student` dan `Instructor`. Implementasikan class-class tersebut dengan penggunaan `super()` yang tepat untuk menangani inisialisasi semua parent class, memastikan tidak ada data yang hilang atau terduplikasi."
Software Engineering,Domain-Driven Design,Indonesian,Remembering,Apa yang dimaksud dengan Bounded Context dalam Domain-Driven Design?,"Level: Remembering
Topik: Domain-Driven Design
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa yang dimaksud dengan Bounded Context dalam Domain-Driven Design?
Business Intelligence,Data Modeling Snowflake Schema,English,Creating,"Design a complete snowflake schema for an e-commerce business that tracks sales across multiple stores, products (with categories and suppliers), customers (with geographic hierarchy), and time dimensions. Include all fact and dimension tables with their relationships and key attributes.","Level: Creating
Topik: Data Modeling Snowflake Schema
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Design a complete snowflake schema for an e-commerce business that tracks sales across multiple stores, products (with categories and suppliers), customers (with geographic hierarchy), and time dimensions. Include all fact and dimension tables with their relationships and key attributes."
Algorithms,Greedy Algorithms,Indonesian,Creating,"Rancang algoritma greedy untuk menjadwalkan jumlah maksimum aktivitas yang tidak tumpang tindih, diberikan waktu mulai dan selesai masing-masing aktivitas. Jelaskan strategi greedy choice Anda dan buktikan mengapa algoritma tersebut menghasilkan solusi optimal.","Level: Creating
Topik: Greedy Algorithms
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang algoritma greedy untuk menjadwalkan jumlah maksimum aktivitas yang tidak tumpang tindih, diberikan waktu mulai dan selesai masing-masing aktivitas. Jelaskan strategi greedy choice Anda dan buktikan mengapa algoritma tersebut menghasilkan solusi optimal."
Computer & Society,Professional Ethics,English,Applying,Identify examples of ethical behavior within a faculty environment that reflect the university’s core values.,"Level: Applying
Topik: Professional Ethics
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Identify examples of ethical behavior within a faculty environment that reflect the university’s core values.
Manajemen Sistem Informasi,Global E-Business dan Kolaborasi,English,Evaluating,"A company is choosing between Slack, Microsoft Teams, and Google Workspace for global team collaboration. Based on factors like integration capabilities, security, and scalability, which platform would you recommend and why?","Level: Evaluating
Topik: Global E-Business dan Kolaborasi
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A company is choosing between Slack, Microsoft Teams, and Google Workspace for global team collaboration. Based on factors like integration capabilities, security, and scalability, which platform would you recommend and why?"
Cybersecurity,OAuth Security Risks,English,Remembering,What are the three main components of the OAuth 2.0 authorization framework?,"Level: Remembering
Topik: OAuth Security Risks
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What are the three main components of the OAuth 2.0 authorization framework?
Manajemen Bisnis,Kebijakan Moneter & Dampak Ekonomi,Indonesian,Analyzing,"Saat resesi ekonomi, Bank Indonesia menerapkan pelonggaran kuantitatif (quantitative easing) dengan membeli surat berharga negara. Analisis bagaimana kebijakan ini mempengaruhi jumlah uang beredar, suku bunga, dan aktivitas ekonomi.","Level: Analyzing
Topik: Kebijakan Moneter & Dampak Ekonomi
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Saat resesi ekonomi, Bank Indonesia menerapkan pelonggaran kuantitatif (quantitative easing) dengan membeli surat berharga negara. Analisis bagaimana kebijakan ini mempengaruhi jumlah uang beredar, suku bunga, dan aktivitas ekonomi."
Server Side,WebSocket Implementation,English,Creating,"Design a WebSocket-based collaborative document editing system that handles conflict resolution when multiple users edit the same section simultaneously. Include your strategy for message queuing, state synchronization, and connection recovery.","Level: Creating
Topik: WebSocket Implementation
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Design a WebSocket-based collaborative document editing system that handles conflict resolution when multiple users edit the same section simultaneously. Include your strategy for message queuing, state synchronization, and connection recovery."
Next.js,Next.js Pages Router,English,Analyzing,"Compare the use of getStaticProps and getServerSideProps in Next.js Pages Router. In what scenarios would each method be more appropriate, and what are the performance implications?","Level: Analyzing
Topik: Next.js Pages Router
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Compare the use of getStaticProps and getServerSideProps in Next.js Pages Router. In what scenarios would each method be more appropriate, and what are the performance implications?"
NLP,Named Entity Recognition,Indonesian,Analyzing,Bandingkan tantangan dalam melakukan Named Entity Recognition pada teks media sosial dengan artikel berita formal. Faktor apa yang membuat salah satunya lebih sulit?,"Level: Analyzing
Topik: Named Entity Recognition
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bandingkan tantangan dalam melakukan Named Entity Recognition pada teks media sosial dengan artikel berita formal. Faktor apa yang membuat salah satunya lebih sulit?
Python Data,Pandas MultiIndex,Indonesian,Creating,"Rancanglah struktur MultiIndex untuk platform e-commerce yang melacak performa produk dalam berbagai dimensi (Kategori, Subkategori, Brand, Produk) dan demonstrasikan cara query produk terbaik di setiap kategori secara efisien.","Level: Creating
Topik: Pandas MultiIndex
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancanglah struktur MultiIndex untuk platform e-commerce yang melacak performa produk dalam berbagai dimensi (Kategori, Subkategori, Brand, Produk) dan demonstrasikan cara query produk terbaik di setiap kategori secara efisien."
Business Intelligence,Data Quality Management,English,Applying,"A company's customer database contains 15% duplicate records, 8% missing email addresses, and 12% outdated phone numbers. Calculate the overall data completeness rate and identify which quality dimension needs immediate attention.","Level: Applying
Topik: Data Quality Management
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A company's customer database contains 15% duplicate records, 8% missing email addresses, and 12% outdated phone numbers. Calculate the overall data completeness rate and identify which quality dimension needs immediate attention."
React,React Error Boundaries,English,Analyzing,Compare the error handling capabilities of Error Boundaries with the limitations they have (such as not catching errors in event handlers). What are the implications for application architecture?,"Level: Analyzing
Topik: React Error Boundaries
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Compare the error handling capabilities of Error Boundaries with the limitations they have (such as not catching errors in event handlers). What are the implications for application architecture?
Machine Learning,Feature Scaling,Indonesian,Understanding,Jelaskan mengapa feature scaling diperlukan ketika menggunakan algoritma berbasis jarak seperti K-Nearest Neighbors atau Support Vector Machines.,"Level: Understanding
Topik: Feature Scaling
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan mengapa feature scaling diperlukan ketika menggunakan algoritma berbasis jarak seperti K-Nearest Neighbors atau Support Vector Machines.
Cloud Computing,Google Cloud Functions,English,Applying,"You need to process uploaded images automatically when they arrive in a Cloud Storage bucket. Which trigger type would you configure for your Cloud Function, and what would be the event type?","Level: Applying
Topik: Google Cloud Functions
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","You need to process uploaded images automatically when they arrive in a Cloud Storage bucket. Which trigger type would you configure for your Cloud Function, and what would be the event type?"
Deep Learning,Long Short-Term Memory (LSTM),English,Evaluating,"A team is deciding between using LSTM or Transformer architecture for a time-series forecasting task with 10 years of daily stock price data. Based on the characteristics of LSTM, what are the advantages and disadvantages of choosing LSTM for this scenario?","Level: Evaluating
Topik: Long Short-Term Memory (LSTM)
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A team is deciding between using LSTM or Transformer architecture for a time-series forecasting task with 10 years of daily stock price data. Based on the characteristics of LSTM, what are the advantages and disadvantages of choosing LSTM for this scenario?"
Machine Learning,K-Nearest Neighbors,English,Creating,Design a modified K-Nearest Neighbors algorithm that can handle missing values in the dataset without removing incomplete records. Describe your approach and how it would maintain classification accuracy.,"Level: Creating
Topik: K-Nearest Neighbors
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Design a modified K-Nearest Neighbors algorithm that can handle missing values in the dataset without removing incomplete records. Describe your approach and how it would maintain classification accuracy.
NLP,Masked Language Modeling,Indonesian,Analyzing,Bandingkan strategi masking yang digunakan pada BERT (random masking) dengan SpanBERT (span masking). Apa keunggulan dari masing-masing pendekatan?,"Level: Analyzing
Topik: Masked Language Modeling
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bandingkan strategi masking yang digunakan pada BERT (random masking) dengan SpanBERT (span masking). Apa keunggulan dari masing-masing pendekatan?
Python OOP,Python Magic Methods,English,Creating,Design a custom Context Manager class using __enter__ and __exit__ magic methods that automatically logs the execution time of code blocks and handles exceptions gracefully.,"Level: Creating
Topik: Python Magic Methods
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Design a custom Context Manager class using __enter__ and __exit__ magic methods that automatically logs the execution time of code blocks and handles exceptions gracefully.
Deep Learning,Vanishing Gradient Problem,Indonesian,Creating,Rancang strategi training yang menggabungkan setidaknya tiga teknik berbeda untuk mencegah vanishing gradient problem pada convolutional neural network 20 layer untuk klasifikasi gambar.,"Level: Creating
Topik: Vanishing Gradient Problem
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Rancang strategi training yang menggabungkan setidaknya tiga teknik berbeda untuk mencegah vanishing gradient problem pada convolutional neural network 20 layer untuk klasifikasi gambar.
Deep Learning,Recurrent Neural Network (RNN),Indonesian,Applying,"Diberikan urutan harga saham [100, 102, 98, 105, 110], rancanglah arsitektur RNN untuk memprediksi harga hari berikutnya. Tentukan bentuk input, ukuran hidden layer, dan konfigurasi output layer.","Level: Applying
Topik: Recurrent Neural Network (RNN)
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Diberikan urutan harga saham [100, 102, 98, 105, 110], rancanglah arsitektur RNN untuk memprediksi harga hari berikutnya. Tentukan bentuk input, ukuran hidden layer, dan konfigurasi output layer."
Operating Systems,C-Language and Processes,English,Remembering,Where is process ID information managed in an operating system?,"Level: Remembering
Topik: C-Language and Processes
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Where is process ID information managed in an operating system?
Server Side,Microservices Architecture,Indonesian,Analyzing,Bandingkan trade-off antara penggunaan REST API sinkron dengan message queue asinkron untuk komunikasi antar-service dalam microservices. Dalam skenario apa masing-masing pendekatan lebih tepat digunakan?,"Level: Analyzing
Topik: Microservices Architecture
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bandingkan trade-off antara penggunaan REST API sinkron dengan message queue asinkron untuk komunikasi antar-service dalam microservices. Dalam skenario apa masing-masing pendekatan lebih tepat digunakan?
Database,Database Replication,Indonesian,Remembering,Apa yang dimaksud dengan database replication?,"Level: Remembering
Topik: Database Replication
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa yang dimaksud dengan database replication?
Manajemen Bisnis,Manajemen Keuangan UMKM,English,Evaluating,An SME owner is deciding between taking a bank loan with 12% annual interest or seeking investment from a venture capitalist who wants 30% equity. Evaluate which option would be more beneficial for the business in the long term and justify your answer.,"Level: Evaluating
Topik: Manajemen Keuangan UMKM
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",An SME owner is deciding between taking a bank loan with 12% annual interest or seeking investment from a venture capitalist who wants 30% equity. Evaluate which option would be more beneficial for the business in the long term and justify your answer.
Flutter,Flutter Firebase Integration,Indonesian,Evaluating,"Sebuah aplikasi e-commerce Flutter mengalami error timeout yang sering terjadi saat mengambil data produk dari Firestore pada jam sibuk. Evaluasi solusi potensial termasuk pagination, strategi caching, dan optimasi query. Pendekatan mana yang paling efektif?","Level: Evaluating
Topik: Flutter Firebase Integration
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Sebuah aplikasi e-commerce Flutter mengalami error timeout yang sering terjadi saat mengambil data produk dari Firestore pada jam sibuk. Evaluasi solusi potensial termasuk pagination, strategi caching, dan optimasi query. Pendekatan mana yang paling efektif?"
Cloud Computing,AWS S3,English,Applying,A company needs to host static website files with high availability. Configure an S3 bucket to serve as a static website host. What settings need to be enabled?,"Level: Applying
Topik: AWS S3
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",A company needs to host static website files with high availability. Configure an S3 bucket to serve as a static website host. What settings need to be enabled?
Python,Python List Comprehension,English,Understanding,Explain how a list comprehension with a conditional filter differs from one without a filter.,"Level: Understanding
Topik: Python List Comprehension
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain how a list comprehension with a conditional filter differs from one without a filter.
Flutter,Flutter Animation Controller,Indonesian,Creating,"Rancang solusi berbasis AnimationController untuk indikator loading kustom yang menggabungkan rotasi, scaling, dan transisi warna. Jelaskan bagaimana Anda akan mengkoordinasikan beberapa animasi menggunakan satu controller.","Level: Creating
Topik: Flutter Animation Controller
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang solusi berbasis AnimationController untuk indikator loading kustom yang menggabungkan rotasi, scaling, dan transisi warna. Jelaskan bagaimana Anda akan mengkoordinasikan beberapa animasi menggunakan satu controller."
Database,Database Transactions,English,Applying,A banking system needs to transfer $500 from Account A to Account B. Write the sequence of SQL operations that should be wrapped in a transaction to ensure data consistency.,"Level: Applying
Topik: Database Transactions
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",A banking system needs to transfer $500 from Account A to Account B. Write the sequence of SQL operations that should be wrapped in a transaction to ensure data consistency.
Data Structures,Depth First Search (DFS),Indonesian,Evaluating,Seorang developer mengklaim bahwa DFS selalu lebih baik daripada BFS untuk pathfinding dalam aplikasi maze-solving. Evaluasi klaim tersebut dengan mempertimbangkan skenario di mana DFS mungkin berkinerja buruk dibandingkan BFS.,"Level: Evaluating
Topik: Depth First Search (DFS)
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Seorang developer mengklaim bahwa DFS selalu lebih baik daripada BFS untuk pathfinding dalam aplikasi maze-solving. Evaluasi klaim tersebut dengan mempertimbangkan skenario di mana DFS mungkin berkinerja buruk dibandingkan BFS.
Next.js,Next.js App Router,Indonesian,Remembering,Apa nama file default yang digunakan untuk mendefinisikan komponen halaman di Next.js App Router?,"Level: Remembering
Topik: Next.js App Router
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa nama file default yang digunakan untuk mendefinisikan komponen halaman di Next.js App Router?
Manajemen Proyek TI,Project Time Management,Indonesia,Understanding,Jenis ketergantungan apa yang terjadi jika pengkodean tidak dapat dimulai sebelum analisis disetujui pengguna?,"Level: Understanding
Topik: Project Time Management
Bahasa: Indonesia
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jenis ketergantungan apa yang terjadi jika pengkodean tidak dapat dimulai sebelum analisis disetujui pengguna?
React,React Component Lifecycle,Indonesian,Applying,Anda perlu mengambil data pengguna dari API saat komponen pertama kali dimuat. Lifecycle method mana yang harus digunakan dan mengapa?,"Level: Applying
Topik: React Component Lifecycle
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Anda perlu mengambil data pengguna dari API saat komponen pertama kali dimuat. Lifecycle method mana yang harus digunakan dan mengapa?
Software Engineering,Domain-Driven Design,Indonesian,Analyzing,Sebuah tim pengembangan mengalami konflik karena istilah 'Customer' memiliki arti berbeda di konteks Sales dan Support. Analisis bagaimana pola strategis DDD dapat menyelesaikan masalah ini.,"Level: Analyzing
Topik: Domain-Driven Design
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Sebuah tim pengembangan mengalami konflik karena istilah 'Customer' memiliki arti berbeda di konteks Sales dan Support. Analisis bagaimana pola strategis DDD dapat menyelesaikan masalah ini.
Operating Systems,C-Language and Processes,English,Remembering,What happens to memory content after a `fork()` call?,"Level: Remembering
Topik: C-Language and Processes
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What happens to memory content after a `fork()` call?
Operating Systems,Introduction and Operating System Structure,English,Analyzing,Explain how a CPU timer helps prevent infinite loops in programs.,"Level: Analyzing
Topik: Introduction and Operating System Structure
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain how a CPU timer helps prevent infinite loops in programs.
Deep Learning,Activation Functions,English,Applying,A neural network for binary classification is experiencing slow convergence during training. The hidden layers currently use sigmoid activation functions. Which activation function would you recommend as a replacement and why?,"Level: Applying
Topik: Activation Functions
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",A neural network for binary classification is experiencing slow convergence during training. The hidden layers currently use sigmoid activation functions. Which activation function would you recommend as a replacement and why?
Business Intelligence,KPI Definition and Measurement,Indonesian,Understanding,Jelaskan perbedaan antara leading indicator dan lagging indicator dalam pengukuran KPI.,"Level: Understanding
Topik: KPI Definition and Measurement
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan perbedaan antara leading indicator dan lagging indicator dalam pengukuran KPI.
Manajemen Bisnis,Kepemimpinan,Indonesia,Evaluating,Evaluasi kelebihan dan kekurangan gaya kepemimpinan Elon Musk di Twitter terhadap kinerja organisasi dan moral karyawan.,"Level: Evaluating
Topik: Kepemimpinan
Bahasa: Indonesia
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Evaluasi kelebihan dan kekurangan gaya kepemimpinan Elon Musk di Twitter terhadap kinerja organisasi dan moral karyawan.
IT Project Management,Work Breakdown Structure (WBS),English,Analyzing,"A project manager created a WBS where some work packages are defined by activities (e.g., 'Conduct Testing') while others are defined by deliverables (e.g., 'Test Report'). Analyze the potential problems this inconsistency might cause in project execution and control.","Level: Analyzing
Topik: Work Breakdown Structure (WBS)
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A project manager created a WBS where some work packages are defined by activities (e.g., 'Conduct Testing') while others are defined by deliverables (e.g., 'Test Report'). Analyze the potential problems this inconsistency might cause in project execution and control."
Next.js,Next.js SEO Optimization,Indonesian,Understanding,Jelaskan bagaimana Next.js Image component membantu meningkatkan SEO melalui optimasi Core Web Vitals.,"Level: Understanding
Topik: Next.js SEO Optimization
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan bagaimana Next.js Image component membantu meningkatkan SEO melalui optimasi Core Web Vitals.
IT Project Management,Project Integration Management,English,Understanding,Why does project plan execution usually consume the majority of a project’s budget?,"Level: Understanding
Topik: Project Integration Management
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Why does project plan execution usually consume the majority of a project’s budget?
Distributed Systems,CAP Theorem,Indonesian,Remembering,Apa kepanjangan dari CAP dalam CAP Theorem?,"Level: Remembering
Topik: CAP Theorem
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa kepanjangan dari CAP dalam CAP Theorem?
Manajemen Bisnis,Perencanaan Bisnis,Indonesian,Analyzing,Bandingkan pendekatan perencanaan bisnis antara startup yang dibiayai secara mandiri (bootstrapped) dengan startup yang didanai venture capital. Apa perbedaan utama dalam prioritas perencanaan mereka?,"Level: Analyzing
Topik: Perencanaan Bisnis
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bandingkan pendekatan perencanaan bisnis antara startup yang dibiayai secara mandiri (bootstrapped) dengan startup yang didanai venture capital. Apa perbedaan utama dalam prioritas perencanaan mereka?
React,React Virtual DOM,English,Creating,Design a simplified Virtual DOM implementation that can detect changes between two component trees and generate the minimal set of DOM operations needed to update the UI.,"Level: Creating
Topik: React Virtual DOM
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Design a simplified Virtual DOM implementation that can detect changes between two component trees and generate the minimal set of DOM operations needed to update the UI.
React,React Conditional Rendering,Indonesian,Analyzing,Bandingkan implikasi performa antara penggunaan inline conditional rendering (operator ternary) dengan mengekstrak logika kondisional ke dalam fungsi komponen terpisah. Dalam skenario apa masing-masing pendekatan lebih menguntungkan?,"Level: Analyzing
Topik: React Conditional Rendering
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bandingkan implikasi performa antara penggunaan inline conditional rendering (operator ternary) dengan mengekstrak logika kondisional ke dalam fungsi komponen terpisah. Dalam skenario apa masing-masing pendekatan lebih menguntungkan?
Machine Learning,Regularization (L1 and L2),Indonesian,Applying,"Sebuah model regresi linear memiliki koefisien [2.5, 0.8, -1.2, 3.1]. Terapkan regularisasi L1 dengan λ=0.5 dan hitung nilai penalty term regularisasinya.","Level: Applying
Topik: Regularization (L1 and L2)
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Sebuah model regresi linear memiliki koefisien [2.5, 0.8, -1.2, 3.1]. Terapkan regularisasi L1 dengan λ=0.5 dan hitung nilai penalty term regularisasinya."
Deep Learning,Activation Functions,English,Evaluating,"A team is building a deep learning model for image classification with 50 hidden layers. They are debating between using ReLU, ELU, and Swish activation functions. Based on the characteristics of each function, which would be most suitable for this architecture and why?","Level: Evaluating
Topik: Activation Functions
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A team is building a deep learning model for image classification with 50 hidden layers. They are debating between using ReLU, ELU, and Swish activation functions. Based on the characteristics of each function, which would be most suitable for this architecture and why?"
Python,Python Closures,Indonesian,Analyzing,Bandingkan dan analisis perbedaan antara closure dengan variabel global dalam Python. Apa keuntungan menggunakan closure dibandingkan variabel global untuk menyimpan state?,"Level: Analyzing
Topik: Python Closures
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bandingkan dan analisis perbedaan antara closure dengan variabel global dalam Python. Apa keuntungan menggunakan closure dibandingkan variabel global untuk menyimpan state?
Next.js,Next.js Image Optimization,English,Analyzing,Compare the performance impact of using a standard <img> tag versus the Next.js Image component for a gallery of 20 high-resolution photos. What specific optimizations does Next.js provide?,"Level: Analyzing
Topik: Next.js Image Optimization
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Compare the performance impact of using a standard <img> tag versus the Next.js Image component for a gallery of 20 high-resolution photos. What specific optimizations does Next.js provide?
Server Side,Server Side Input Validation,English,Analyzing,A banking application experienced a SQL injection attack despite having client-side validation. Analyze how proper server-side input validation could have prevented this security breach.,"Level: Analyzing
Topik: Server Side Input Validation
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",A banking application experienced a SQL injection attack despite having client-side validation. Analyze how proper server-side input validation could have prevented this security breach.
Backend Python,Django Signals,English,Understanding,"Explain how the post_save signal differs from the pre_save signal in Django, and when each should be used.","Level: Understanding
Topik: Django Signals
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Explain how the post_save signal differs from the pre_save signal in Django, and when each should be used."
